gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000004806	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004811	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004825	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004832	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004841	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004849	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004876	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004881	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004894	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004896	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004899	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004917	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004921	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000004978	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005019	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005028	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005034	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005107	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005111	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005149	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005166	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005170	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005171	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005207	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005209	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005266	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005306	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005323	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005366	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005427	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005438	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005485	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005510	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005540	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005543	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005616	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005647	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005655	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005713	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005717	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005723	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005771	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005777	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005794	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005804	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005849	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005880	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005888	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005948	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000005996	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006018	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006040	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006068	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006116	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006169	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006224	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006237	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006239	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006299	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006305	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006320	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006354	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006363	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006372	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006418	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006424	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006482	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006592	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006596	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006603	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006663	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006680	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006727	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006810	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006898	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000006911	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007028	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007049	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007078	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007088	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007121	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007182	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007205	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007227	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007320	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007351	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007431	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007489	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007606	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007615	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007657	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007781	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007825	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007953	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007955	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007962	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000007995	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008013	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008020	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000008045	Brain	Rabbit	1	MaSigPro 
