gene_id	tissue	species	n_pipe	pipe
ENSMODG00000016804	Brain	Opossum	1	MaSigPro 
ENSMODG00000016817	Brain	Opossum	1	MaSigPro 
ENSMODG00000016910	Brain	Opossum	1	MaSigPro 
ENSMODG00000016972	Brain	Opossum	1	MaSigPro 
ENSMODG00000017022	Brain	Opossum	1	MaSigPro 
ENSMODG00000017097	Brain	Opossum	1	MaSigPro 
ENSMODG00000017144	Brain	Opossum	1	MaSigPro 
ENSMODG00000017157	Brain	Opossum	1	MaSigPro 
ENSMODG00000017223	Brain	Opossum	1	MaSigPro 
ENSMODG00000017236	Brain	Opossum	1	MaSigPro 
ENSMODG00000017381	Brain	Opossum	1	MaSigPro 
ENSMODG00000017463	Brain	Opossum	1	MaSigPro 
ENSMODG00000017467	Brain	Opossum	1	MaSigPro 
ENSMODG00000017546	Brain	Opossum	1	MaSigPro 
ENSMODG00000017548	Brain	Opossum	1	MaSigPro 
ENSMODG00000017695	Brain	Opossum	1	MaSigPro 
ENSMODG00000017722	Brain	Opossum	1	MaSigPro 
ENSMODG00000017803	Brain	Opossum	1	MaSigPro 
ENSMODG00000018035	Brain	Opossum	1	MaSigPro 
ENSMODG00000018119	Brain	Opossum	1	MaSigPro 
ENSMODG00000018227	Brain	Opossum	1	MaSigPro 
ENSMODG00000018234	Brain	Opossum	1	MaSigPro 
ENSMODG00000018351	Brain	Opossum	1	MaSigPro 
ENSMODG00000018364	Brain	Opossum	1	MaSigPro 
ENSMODG00000018393	Brain	Opossum	1	MaSigPro 
ENSMODG00000018479	Brain	Opossum	1	MaSigPro 
ENSMODG00000018533	Brain	Opossum	1	MaSigPro 
ENSMODG00000018571	Brain	Opossum	1	MaSigPro 
ENSMODG00000018586	Brain	Opossum	1	MaSigPro 
ENSMODG00000018604	Brain	Opossum	1	MaSigPro 
ENSMODG00000018634	Brain	Opossum	1	MaSigPro 
ENSMODG00000018700	Brain	Opossum	1	MaSigPro 
ENSMODG00000018721	Brain	Opossum	1	MaSigPro 
ENSMODG00000018753	Brain	Opossum	1	MaSigPro 
ENSMODG00000018814	Brain	Opossum	1	MaSigPro 
ENSMODG00000018818	Brain	Opossum	1	MaSigPro 
ENSMODG00000018930	Brain	Opossum	1	MaSigPro 
ENSMODG00000018992	Brain	Opossum	1	MaSigPro 
ENSMODG00000019111	Brain	Opossum	1	MaSigPro 
ENSMODG00000019131	Brain	Opossum	1	MaSigPro 
ENSMODG00000019177	Brain	Opossum	1	MaSigPro 
ENSMODG00000019196	Brain	Opossum	1	MaSigPro 
ENSMODG00000019232	Brain	Opossum	1	MaSigPro 
ENSMODG00000019271	Brain	Opossum	1	MaSigPro 
ENSMODG00000019307	Brain	Opossum	1	MaSigPro 
ENSMODG00000019435	Brain	Opossum	1	MaSigPro 
ENSMODG00000019625	Brain	Opossum	1	MaSigPro 
ENSMODG00000019711	Brain	Opossum	1	MaSigPro 
ENSMODG00000019763	Brain	Opossum	1	MaSigPro 
ENSMODG00000019804	Brain	Opossum	1	MaSigPro 
ENSMODG00000019913	Brain	Opossum	1	MaSigPro 
ENSMODG00000020086	Brain	Opossum	1	MaSigPro 
ENSMODG00000020276	Brain	Opossum	1	MaSigPro 
ENSMODG00000020301	Brain	Opossum	1	MaSigPro 
ENSMODG00000020361	Brain	Opossum	1	MaSigPro 
ENSMODG00000020386	Brain	Opossum	1	MaSigPro 
ENSMODG00000020406	Brain	Opossum	1	MaSigPro 
ENSMODG00000020452	Brain	Opossum	1	MaSigPro 
ENSMODG00000020496	Brain	Opossum	1	MaSigPro 
ENSMODG00000020518	Brain	Opossum	1	MaSigPro 
ENSMODG00000020647	Brain	Opossum	1	MaSigPro 
ENSMODG00000020659	Brain	Opossum	1	MaSigPro 
ENSMODG00000020679	Brain	Opossum	1	MaSigPro 
ENSMODG00000020715	Brain	Opossum	1	MaSigPro 
ENSMODG00000020716	Brain	Opossum	1	MaSigPro 
ENSMODG00000020759	Brain	Opossum	1	MaSigPro 
