id,files,group,sex,tissue,timePoint
Kidney.P0.2,1903sTS.Mouse.Kidney.0dpb.Female.htseq.u.txt,P0,Female,Kidney,0
Kidney.P0.3,1909sTS.Mouse.Kidney.0dpb.Male.htseq.u.txt,P0,Male,Kidney,0
Kidney.P0.4,1915sTS.Mouse.Kidney.0dpb.Male.htseq.u.txt,P0,Male,Kidney,0
Kidney.P3.1,1921sTS.Mouse.Kidney.3dpb.Female.htseq.u.txt,P3,Female,Kidney,1
Kidney.P3.2,1933sTS.Mouse.Kidney.3dpb.Female.htseq.u.txt,P3,Female,Kidney,1
Kidney.P3.3,1927sTS.Mouse.Kidney.3dpb.Male.htseq.u.txt,P3,Male,Kidney,1
Kidney.P3.4,2642sTS.Mouse.Kidney.3dpb.Male.htseq.u.txt,P3,Male,Kidney,1
Kidney.P14.1,2654sTS.Mouse.Kidney.2wpb.Female.htseq.u.txt,P14,Female,Kidney,2
Kidney.P14.2,2652sTS.Mouse.Kidney.2wpb.Female.htseq.u.txt,P14,Female,Kidney,2
Kidney.P14.3,2644sTS.Mouse.Kidney.2wpb.Male.htseq.u.txt,P14,Male,Kidney,2
Kidney.P14.4,2646sTS.Mouse.Kidney.2wpb.Male.htseq.u.txt,P14,Male,Kidney,2
Kidney.P28.1,2656sTS.Mouse.Kidney.4wpb.Female.htseq.u.txt,P28,Female,Kidney,3
Kidney.P28.2,2658sTS.Mouse.Kidney.4wpb.Female.htseq.u.txt,P28,Female,Kidney,3
Kidney.P28.3,2660sTS.Mouse.Kidney.4wpb.Male.htseq.u.txt,P28,Male,Kidney,3
Kidney.P28.4,2662sTS.Mouse.Kidney.4wpb.Male.htseq.u.txt,P28,Male,Kidney,3
Kidney.P63.1,1951sTS.Mouse.Kidney.9w.Female.htseq.u.txt,P63,Female,Kidney,4
Kidney.P63.2,2665sTS.Mouse.Kidney.9wpb.Female.htseq.u.txt,P63,Female,Kidney,4
Kidney.P63.3,2664sTS.Mouse.Kidney.9wpb.Male.htseq.u.txt,P63,Male,Kidney,4
Kidney.P63.4,5360sTS.Mouse.Kidney.9wpb.Male.htseq.u.txt,P63,Male,Kidney,4
Liver.e10.5.1,2583sTS.Mouse.Liver.10.5.Female.htseq.u.txt,e10.5,Female,Liver,-9
Liver.e10.5.2,3461sTS.Mouse.Liver.10.5.Female.htseq.u.txt,e10.5,Female,Liver,-9
Liver.e10.5.3,2648sTS.Mouse.Liver.10.5.Female.htseq.u.txt,e10.5,Female,Liver,-9
Liver.e10.5.4,2496sTS.Mouse.Liver.10.5.Male.htseq.u.txt,e10.5,Male,Liver,-9
Liver.e11.5.2,3034sTS.Mouse.Liver.11.5.Male.htseq.u.txt,e11.5,Male,Liver,-8
Liver.e11.5.3,2623sTS.Mouse.Liver.11.5.Male.htseq.u.txt,e11.5,Male,Liver,-8
Liver.e11.5.4,2626sTS.Mouse.Liver.11.5.Male.htseq.u.txt,e11.5,Male,Liver,-8
Liver.e11.5.5,2943sTS.Mouse.Liver.11.5.Male.htseq.u.txt,e11.5,Male,Liver,-8
Liver.e12.5.1,3039sTS.Mouse.Liver.12.5.Female.htseq.u.txt,e12.5,Female,Liver,-7
Liver.e12.5.2,3044sTS.Mouse.Liver.12.5.Female.htseq.u.txt,e12.5,Female,Liver,-7
Liver.e12.5.3,3037sTS.Mouse.Liver.12.5.Male.htseq.u.txt,e12.5,Male,Liver,-7
Liver.e12.5.4,3042sTS.Mouse.Liver.12.5.Male.htseq.u.txt,e12.5,Male,Liver,-7
Liver.e13.5.1,2832sTS.Mouse.Liver.13.5.Female.htseq.u.txt,e13.5,Female,Liver,-6
Liver.e13.5.2,2816sTS.Mouse.Liver.13.5.Female.htseq.u.txt,e13.5,Female,Liver,-6
Liver.e13.5.3,2840sTS.Mouse.Liver.13.5.Male.htseq.u.txt,e13.5,Male,Liver,-6
