id,files,group,X4,sex,tissue,timePoint
Ovary.164.20,4208sTS.Opossum.Ovary.150dpb.Female.htseq.u.txt,164,20,Female,Ovary,12
Ovary.164.21,5860sTS.Opossum.Ovary.150dpb.Female.htseq.u.txt,164,21,Female,Ovary,12
Ovary.194.22,3999sTS.Opossum.Ovary.180dpb.Female.htseq.u.txt,194,22,Female,Ovary,13
Testis.16.1,4492sTS.Opossum.Testis.2dpb.Male.htseq.u.txt,16,1,Male,Testis,1
Testis.18.2,4542sTS.Opossum.Testis.4dpb.Male.htseq.u.txt,18,2,Male,Testis,2
Testis.18.3,5331sTS.Opossum.Testis.4dpb.Male.htseq.u.txt,18,3,Male,Testis,2
Testis.20.4,5327sTS.Opossum.Testis.6dpb.Male.htseq.u.txt,20,4,Male,Testis,3
Testis.20.5,5328sTS.Opossum.Testis.6dpb.Male.htseq.u.txt,20,5,Male,Testis,3
Testis.24.7,5601sTS.Opossum.Testis.10dpb.Male.htseq.u.txt,24,7,Male,Testis,4
Testis.28.8,4954sTS.Opossum.Testis.14dpb.Male.htseq.u.txt,28,8,Male,Testis,5
Testis.28.9,5877sTS.Opossum.Testis.14dpb.Male.htseq.u.txt,28,9,Male,Testis,5
Testis.35.10,5329sTS.Opossum.Testis.21dpb.Male.htseq.u.txt,35,10,Male,Testis,6
Testis.35.11,5330sTS.Opossum.Testis.21dpb.Male.htseq.u.txt,35,11,Male,Testis,6
Testis.42.12,4677sTS.Opossum.Testis.28dpb.Male.htseq.u.txt,42,12,Male,Testis,7
Testis.42.13,4678sTS.Opossum.Testis.28dpb.Male.htseq.u.txt,42,13,Male,Testis,7
Testis.56.14,4723sTS.Opossum.Testis.42dpb.Male.htseq.u.txt,56,14,Male,Testis,8
Testis.56.15,4727sTS.Opossum.Testis.42dpb.Male.htseq.u.txt,56,15,Male,Testis,8
Testis.74.16,4731sTS.Opossum.Testis.60dpb.Male.htseq.u.txt,74,16,Male,Testis,9
Testis.74.17,4661sTS.Opossum.Testis.60dpb.Male.htseq.u.txt,74,17,Male,Testis,9
Testis.104.18,4638sTS.Opossum.Testis.90dpb.Male.htseq.u.txt,104,18,Male,Testis,10
Testis.104.19,4619sTS.Opossum.Testis.90dpb.Male.htseq.u.txt,104,19,Male,Testis,10
Testis.134.20,5854sTS.Opossum.Testis.120dpb.Male.htseq.u.txt,134,20,Male,Testis,11
Testis.164.22,4212sTS.Opossum.Testis.150dpb.Male.htseq.u.txt,164,22,Male,Testis,12
Testis.194.23,3956sTS.Opossum.Testis.180dpb.Male.htseq.u.txt,194,23,Male,Testis,13
Testis.194.24,3993sTS.Opossum.Testis.180dpb.Male.htseq.u.txt,194,24,Male,Testis,13
